CharacteristicMode
"Frequency"[Hz]	"Mode index = 1  []"	"Mode index = 2  []"	"Mode index = 3  []"	"Mode index = 4  []"	"Mode index = 5  []"	"Mode index = 6  []"	"Mode index = 7  []"	"Mode index = 8  []"	"Mode index = 9  []"	"Mode index = 10  []"	
9.35000000E+08	8.90217780E-02	2.06871648E-05	8.22928868E-08	7.14231611E-02	6.96623560E-06	4.71778786E-05	4.95413951E-03	1.56291717E-04	NaN	4.85734825E-07	
9.40000000E+08	8.74385327E-02	2.12411641E-05	8.96819813E-08	7.43369230E-02	7.58303353E-06	5.02444804E-05	5.18742003E-03	1.55560204E-04	NaN	5.16709980E-07	
9.45000000E+08	8.59523642E-02	2.18616210E-05	9.42180730E-08	7.73421512E-02	8.24505166E-06	5.33993160E-05	5.42941707E-03	1.55021339E-04	NaN	5.52937741E-07	
9.50000000E+08	8.45542890E-02	2.24783960E-05	9.91414253E-08	8.04355057E-02	8.97970612E-06	5.66424037E-05	5.68049468E-03	1.54680945E-04	NaN	5.86556946E-07	
9.55000000E+08	8.32361505E-02	2.30738020E-05	1.03983487E-07	8.36112794E-02	9.76665263E-06	5.99785538E-05	5.94101577E-03	1.54524024E-04	NaN	6.25530904E-07	
9.60000000E+08	8.19910372E-02	2.37461969E-05	1.11334063E-07	8.68608341E-02	1.06514508E-05	6.34074351E-05	6.21137717E-03	1.54555117E-04	NaN	6.64828632E-07	
9.65000000E+08	8.08126070E-02	2.44316921E-05	1.16497178E-07	9.01720012E-02	1.16211319E-05	6.69317420E-05	6.49198669E-03	1.54767404E-04	NaN	7.11728845E-07	
9.70000000E+08	7.96955489E-02	2.51381858E-05	1.22304940E-07	9.35282646E-02	1.26662890E-05	7.05535917E-05	6.78326292E-03	1.55164249E-04	NaN	7.61612009E-07	
9.75000000E+08	7.86346545E-02	2.58485199E-05	1.30866627E-07	9.69084614E-02	1.38415177E-05	7.42757556E-05	7.08565859E-03	1.55728378E-04	NaN	8.06601183E-07	
9.80000000E+08	7.76257349E-02	2.65992669E-05	1.36192133E-07	1.00285714E-01	1.51225775E-05	7.80995041E-05	7.39965026E-03	1.56473719E-04	NaN	8.65304648E-07	
9.85000000E+08	7.66649284E-02	2.73632118E-05	1.43254223E-07	1.03627286E-01	1.65394526E-05	8.20270738E-05	7.72570757E-03	1.57383295E-04	NaN	9.27384878E-07	
9.90000000E+08	7.57485739E-02	2.81724817E-05	1.50131804E-07	1.06894332E-01	1.81166769E-05	8.60619126E-05	8.06436594E-03	1.58459869E-04	NaN	9.94831247E-07	
9.95000000E+08	7.48736760E-02	2.89930519E-05	1.58963431E-07	1.10042087E-01	1.98524818E-05	9.02046953E-05	8.41615730E-03	1.59709914E-04	NaN	1.07317630E-06	
1.00000000E+09	7.40373153E-02	2.98187041E-05	1.69651212E-07	1.13020608E-01	2.17737473E-05	9.44579563E-05	8.78165396E-03	1.61126434E-04	NaN	1.14934569E-06	
1.00500000E+09	7.32370451E-02	3.07022780E-05	1.79251088E-07	1.15776380E-01	2.39046881E-05	9.88260970E-05	9.16146390E-03	1.62708420E-04	NaN	1.24147094E-06	
1.01000000E+09	7.24705219E-02	3.15939770E-05	1.85472313E-07	1.18254159E-01	2.63252427E-05	1.03309965E-04	9.55621675E-03	1.64459007E-04	NaN	1.34234538E-06	
1.01500000E+09	7.17356679E-02	3.25268715E-05	1.96437807E-07	1.20399880E-01	2.89713498E-05	1.07912838E-04	9.96656820E-03	1.66376739E-04	NaN	1.45108564E-06	
1.02000000E+09	7.10305790E-02	3.34678412E-05	2.07063218E-07	1.22164161E-01	3.19322608E-05	1.12636761E-04	1.03932391E-02	1.68462185E-04	NaN	1.57741376E-06	
